32:1293988, ack 721, win 501, length 156
02:45:23.991936 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1602248:1602404, ack 901, win 501, length 156
02:45:23.991996 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1602404:1602560, ack 901, win 501, length 156
02:45:23.992244 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1602560:1602716, ack 901, win 501, length 156
02:45:23.992308 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1602716:1602872, ack 901, win 501, length 156
02:45:23.992373 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1602872:1603028, ack 901, win 501, length 156
02:45:23.992412 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1603028:1603184, ack 901, win 501, length 156
02:45:23.992458 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1603184:1603340, ack 901, win 501, length 156
02:45:23.992501 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1603340:1603496, ack 901, win 501, length 156
02:45:23.992538 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1603496:1603652, ack 901, win 501, length 156
02:45:23.992576 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1603652:1603808, ack 901, win 501, length 156
02:45:23.992614 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1603808:1603964, ack 901, win 501, length 156
02:45:23.992656 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1603964:1604120, ack 901, win 501, length 156
02:45:23.992692 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1604120:1604276, ack 901, win 501, length 156
02:45:23.992848 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1604276:1604432, ack 901, win 501, length 156
02:45:23.992970 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1604432:1604588, ack 901, win 501, length 156
02:45:23.993032 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1604588:1604744, ack 901, win 501, length 156
02:45:23.993080 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1604744:1604900, ack 901, win 501, length 156
02:45:23.993126 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1604900:1605056, ack 901, win 501, length 156
02:45:23.993215 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1605056:1605212, ack 901, win 501, length 156
02:45:23.993273 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1605212:1605368, ack 901, win 501, length 156
02:45:23.993330 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1605368:1605524, ack 901, win 501, length 156
02:45:23.993380 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1605524:1605680, ack 901, win 501, length 156
02:45:23.993408 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1599648, win 8337, length 0
02:45:23.993492 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1605680:1605940, ack 901, win 501, length 260
02:45:23.993534 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1605940:1606096, ack 901, win 501, length 156
02:45:23.993806 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1606096:1606252, ack 901, win 501, length 156
02:45:23.993884 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1606252:1606408, ack 901, win 501, length 156
02:45:23.993937 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1606408:1606564, ack 901, win 501, length 156
02:45:23.994100 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1606564:1606720, ack 901, win 501, length 156
02:45:23.994206 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1606720:1606876, ack 901, win 501, length 156
02:45:23.994251 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1606876:1607032, ack 901, win 501, length 156
02:45:23.994287 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1607032:1607188, ack 901, win 501, length 156
02:45:23.994322 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1607188:1607344, ack 901, win 501, length 156
02:45:23.994358 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1607344:1607500, ack 901, win 501, length 156
02:45:23.994392 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1607500:1607656, ack 901, win 501, length 156
02:45:23.994428 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1607656:1607812, ack 901, win 501, length 156
02:45:23.994471 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1607812:1607968, ack 901, win 501, length 156
02:45:23.994514 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1607968:1608124, ack 901, win 501, length 156
02:45:23.994549 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1608124:1608280, ack 901, win 501, length 156
02:45:23.994584 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1608280:1608436, ack 901, win 501, length 156
02:45:23.994734 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1608436:1608592, ack 901, win 501, length 156
02:45:23.994794 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1608592:1608748, ack 901, win 501, length 156
02:45:23.994829 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1608748:1608904, ack 901, win 501, length 156
02:45:23.994874 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1608904:1609060, ack 901, win 501, length 156
02:45:23.994914 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1609060:1609216, ack 901, win 501, length 156
02:45:23.994950 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1609216:1609372, ack 901, win 501, length 156
02:45:23.994992 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1609372:1609528, ack 901, win 501, length 156
02:45:23.995034 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1609528:1609684, ack 901, win 501, length 156
02:45:23.995417 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1609684:1609840, ack 901, win 501, length 156
02:45:23.995515 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1602560, win 8337, length 0
02:45:23.995553 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1609840:1609996, ack 901, win 501, length 156
02:45:23.995600 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1609996:1610256, ack 901, win 501, length 260
02:45:23.995647 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1610256:1610412, ack 901, win 501, length 156
02:45:23.995695 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1610412:1610568, ack 901, win 501, length 156
02:45:23.995739 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1610568:1610724, ack 901, win 501, length 156
02:45:23.995784 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1610724:1610880, ack 901, win 501, length 156
02:45:23.995829 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1610880:1611036, ack 901, win 501, length 156
02:45:23.995871 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1611036:1611192, ack 901, win 501, length 156
02:45:23.997593 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1611192:1611348, ack 901, win 501, length 156
02:45:23.997644 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1606564, win 8337, length 0
02:45:23.998048 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1611348:1611608, ack 901, win 501, length 260
02:45:23.998138 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1611608:1611764, ack 901, win 501, length 156
02:45:23.998243 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1611764:1611920, ack 901, win 501, length 156
02:45:23.998488 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1610412, win 8337, length 0
02:45:23.998488 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1611036, win 8335, length 0
02:45:23.998533 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1611920:1612076, ack 901, win 501, length 156
02:45:23.998820 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1612076:1612440, ack 901, win 501, length 364
02:45:23.998917 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1612440:1612596, ack 901, win 501, length 156
02:45:23.998972 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1612596:1612752, ack 901, win 501, length 156
02:45:23.999464 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1612752:1612908, ack 901, win 501, length 156
02:45:23.999759 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1612908:1613064, ack 901, win 501, length 156
02:45:23.999877 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1613064:1613220, ack 901, win 501, length 156
02:45:24.000065 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1613220:1613376, ack 901, win 501, length 156
02:45:24.000119 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1613376:1613532, ack 901, win 501, length 156
02:45:24.000212 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1613532:1613688, ack 901, win 501, length 156
02:45:24.000292 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1613688:1613844, ack 901, win 501, length 156
02:45:24.000554 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1611764, win 8332, length 0
02:45:24.000690 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1613844:1614000, ack 901, win 501, length 156
02:45:24.000999 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1614000:1614260, ack 901, win 501, length 260
02:45:24.001208 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1614260:1614416, ack 901, win 501, length 156
02:45:24.001411 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1614416:1614572, ack 901, win 501, length 156
02:45:24.001480 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1614572:1614728, ack 901, win 501, length 156
02:45:24.001536 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1614728:1614884, ack 901, win 501, length 156
02:45:24.001893 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1614884:1615040, ack 901, win 501, length 156
02:45:24.001991 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1615040:1615196, ack 901, win 501, length 156
02:45:24.002408 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1615196:1615352, ack 901, win 501, length 156
02:45:24.002463 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1613688, win 8337, length 0
02:45:24.002602 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1615352:1615612, ack 901, win 501, length 260
02:45:24.002680 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1615612:1615768, ack 901, win 501, length 156
02:45:24.002741 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1615768:1615924, ack 901, win 501, length 156
02:45:24.002823 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1615924:1616080, ack 901, win 501, length 156
02:45:24.002880 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1616080:1616236, ack 901, win 501, length 156
02:45:24.002955 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1616236:1616392, ack 901, win 501, length 156
02:45:24.003011 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1616392:1616548, ack 901, win 501, length 156
02:45:24.003348 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1616548:1616704, ack 901, win 501, length 156
02:45:24.003959 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1616704:1616860, ack 901, win 501, length 156
02:45:24.004115 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1616860:1617016, ack 901, win 501, length 156
02:45:24.004484 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1617016:1617172, ack 901, win 501, length 156
02:45:24.004517 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1615196, win 8337, length 0
02:45:24.004615 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1617172:1617432, ack 901, win 501, length 260
02:45:24.004673 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1617432:1617588, ack 901, win 501, length 156
02:45:24.004777 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1617588:1617744, ack 901, win 501, length 156
02:45:24.004843 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1617744:1617900, ack 901, win 501, length 156
02:45:24.004917 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1617900:1618056, ack 901, win 501, length 156
02:45:24.005125 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1618056:1618212, ack 901, win 501, length 156
02:45:24.005381 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1618212:1618368, ack 901, win 501, length 156
02:45:24.005564 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1618368:1618524, ack 901, win 501, length 156
02:45:24.005721 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1618524:1618680, ack 901, win 501, length 156
02:45:24.005785 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1618680:1618836, ack 901, win 501, length 156
02:45:24.005834 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1618836:1618992, ack 901, win 501, length 156
02:45:24.005872 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1618992:1619148, ack 901, win 501, length 156
02:45:24.005909 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1619148:1619304, ack 901, win 501, length 156
02:45:24.005972 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1619304:1619460, ack 901, win 501, length 156
02:45:24.006202 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1619460:1619616, ack 901, win 501, length 156
02:45:24.006299 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1619616:1619772, ack 901, win 501, length 156
02:45:24.006352 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1619772:1619928, ack 901, win 501, length 156
02:45:24.006542 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1616860, win 8337, length 0
02:45:24.006574 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1619928:1620084, ack 901, win 501, length 156
02:45:24.006665 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1620084:1620344, ack 901, win 501, length 260
02:45:24.006976 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1620344:1620500, ack 901, win 501, length 156
02:45:24.007079 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1620500:1620656, ack 901, win 501, length 156
02:45:24.007895 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1620656:1620812, ack 901, win 501, length 156
02:45:24.008828 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1619460, win 8337, length 0
02:45:24.008884 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1620812:1620968, ack 901, win 501, length 156
02:45:24.009038 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1620968:1621228, ack 901, win 501, length 260
02:45:24.009197 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1621228:1621384, ack 901, win 501, length 156
02:45:24.009334 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1621384:1621540, ack 901, win 501, length 156
02:45:24.009407 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1621540:1621696, ack 901, win 501, length 156
02:45:24.009462 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1621696:1621852, ack 901, win 501, length 156
02:45:24.009510 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1621852:1622008, ack 901, win 501, length 156
02:45:24.009558 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1622008:1622164, ack 901, win 501, length 156
02:45:24.009606 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1622164:1622320, ack 901, win 501, length 156
02:45:24.009657 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1622320:1622476, ack 901, win 501, length 156
02:45:24.009947 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1622476:1622632, ack 901, win 501, length 156
02:45:24.010009 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1622632:1622788, ack 901, win 501, length 156
02:45:24.010153 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1622788:1622944, ack 901, win 501, length 156
02:45:24.010308 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1622944:1623100, ack 901, win 501, length 156
02:45:24.010369 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1623100:1623256, ack 901, win 501, length 156
02:45:24.010389 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1620656, win 8332, length 0
02:45:24.010602 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1623256:1623516, ack 901, win 501, length 260
02:45:24.010718 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1623516:1623672, ack 901, win 501, length 156
02:45:24.010775 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1623672:1623828, ack 901, win 501, length 156
02:45:24.010824 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1623828:1623984, ack 901, win 501, length 156
02:45:24.010872 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1623984:1624140, ack 901, win 501, length 156
02:45:24.010919 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1624140:1624296, ack 901, win 501, length 156
02:45:24.013266 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1623100, win 8337, length 0
02:45:24.013458 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1624296:1624452, ack 901, win 501, length 156
02:45:24.013671 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1624452:1624712, ack 901, win 501, length 260
02:45:24.013903 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1624712:1624868, ack 901, win 501, length 156
02:45:24.014061 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1624868:1625024, ack 901, win 501, length 156
02:45:24.014171 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1625024:1625180, ack 901, win 501, length 156
02:45:24.014230 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1625180:1625336, ack 901, win 501, length 156
02:45:24.014277 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1625336:1625492, ack 901, win 501, length 156
02:45:24.015549 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1625492:1625648, ack 901, win 501, length 156
02:45:24.015606 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1624296, win 8332, length 0
02:45:24.015764 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1625648:1625908, ack 901, win 501, length 260
02:45:24.016095 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1625908:1626064, ack 901, win 501, length 156
02:45:24.016149 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1626064:1626220, ack 901, win 501, length 156
02:45:24.016198 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1626220:1626376, ack 901, win 501, length 156
02:45:24.016262 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1626376:1626532, ack 901, win 501, length 156
02:45:24.016417 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1626532:1626688, ack 901, win 501, length 156
02:45:24.016442 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1625336, win 8337, length 0
02:45:24.016511 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1626688:1626948, ack 901, win 501, length 260
02:45:24.016590 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1626948:1627104, ack 901, win 501, length 156
02:45:24.016640 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1627104:1627260, ack 901, win 501, length 156
02:45:24.016687 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1627260:1627416, ack 901, win 501, length 156
02:45:24.016731 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1627416:1627572, ack 901, win 501, length 156
02:45:24.016893 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1627572:1627728, ack 901, win 501, length 156
02:45:24.016941 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1627728:1627884, ack 901, win 501, length 156
02:45:24.016986 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1627884:1628040, ack 901, win 501, length 156
02:45:24.017031 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1628040:1628196, ack 901, win 501, length 156
02:45:24.017078 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1628196:1628352, ack 901, win 501, length 156
02:45:24.017125 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1628352:1628508, ack 901, win 501, length 156
02:45:24.017170 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1628508:1628664, ack 901, win 501, length 156
02:45:24.017344 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1628664:1628820, ack 901, win 501, length 156
02:45:24.017394 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1628820:1628976, ack 901, win 501, length 156
02:45:24.017438 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1628976:1629132, ack 901, win 501, length 156
02:45:24.017482 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1629132:1629288, ack 901, win 501, length 156
02:45:24.017530 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1629288:1629444, ack 901, win 501, length 156
02:45:24.017576 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1629444:1629600, ack 901, win 501, length 156
02:45:24.017639 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1629600:1629756, ack 901, win 501, length 156
02:45:24.017681 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1629756:1629912, ack 901, win 501, length 156
02:45:24.018014 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1629912:1630068, ack 901, win 501, length 156
02:45:24.018076 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1630068:1630224, ack 901, win 501, length 156
02:45:24.018128 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1630224:1630380, ack 901, win 501, length 156
02:45:24.018173 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1630380:1630536, ack 901, win 501, length 156
02:45:24.018393 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1630536:1630692, ack 901, win 501, length 156
02:45:24.018718 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1630692:1630848, ack 901, win 501, length 156
02:45:24.018805 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1630848:1631004, ack 901, win 501, length 156
02:45:24.018891 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1631004:1631160, ack 901, win 501, length 156
02:45:24.018996 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1631160:1631316, ack 901, win 501, length 156
02:45:24.019620 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1626376, win 8333, length 0
02:45:24.019696 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1631316:1631472, ack 901, win 501, length 156
02:45:24.020127 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1631472:1631732, ack 901, win 501, length 260
02:45:24.020216 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1631732:1631888, ack 901, win 501, length 156
02:45:24.020272 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1631888:1632044, ack 901, win 501, length 156
02:45:24.020323 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1632044:1632200, ack 901, win 501, length 156
02:45:24.020387 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1632200:1632356, ack 901, win 501, length 156
02:45:24.020496 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1632356:1632512, ack 901, win 501, length 156
02:45:24.020554 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1632512:1632668, ack 901, win 501, length 156
02:45:24.020606 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1632668:1632824, ack 901, win 501, length 156
02:45:24.020654 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1632824:1632980, ack 901, win 501, length 156
02:45:24.020702 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1632980:1633136, ack 901, win 501, length 156
02:45:24.020751 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1633136:1633292, ack 901, win 501, length 156
02:45:24.020804 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1633292:1633448, ack 901, win 501, length 156
02:45:24.020854 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1633448:1633604, ack 901, win 501, length 156
02:45:24.020903 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1633604:1633760, ack 901, win 501, length 156
02:45:24.020955 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1633760:1633916, ack 901, win 501, length 156
02:45:24.021005 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1633916:1634072, ack 901, win 501, length 156
02:45:24.021054 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1634072:1634228, ack 901, win 501, length 156
02:45:24.021106 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1634228:1634384, ack 901, win 501, length 156
02:45:24.021154 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1634384:1634540, ack 901, win 501, length 156
02:45:24.021211 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1634540:1634696, ack 901, win 501, length 156
