-170-42.dsl.bell.ca.56476: Flags [P.], seq 881380:881584, ack 505, win 501, length 204
02:34:46.103779 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1222168:1222372, ack 721, win 501, length 204
02:34:46.103826 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1222372:1222576, ack 721, win 501, length 204
02:34:46.103875 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1222576:1222780, ack 721, win 501, length 204
02:34:46.103923 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1222780:1222984, ack 721, win 501, length 204
02:34:46.103972 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1222984:1223188, ack 721, win 501, length 204
02:34:46.110758 IP 103.89.91.180.41831 > comp3134-Winter2023.1211: Flags [S], seq 23442, win 512, length 0
02:34:46.111677 IP comp3134-Winter2023.58400 > 67.207.67.2.domain: 25997+ [1au] PTR? 180.91.89.103.in-addr.arpa. (55)
02:34:46.111761 IP comp3134-Winter2023.50351 > 67.207.67.3.domain: 12546+ [1au] PTR? 180.91.89.103.in-addr.arpa. (55)
02:34:46.111825 IP comp3134-Winter2023.51559 > 67.207.67.3.domain: 62865+ [1au] PTR? 180.91.89.103.in-addr.arpa. (55)
02:34:46.112182 IP 67.207.67.2.domain > comp3134-Winter2023.58400: 25997 NXDomain 0/1/1 (143)
02:34:46.112182 IP 67.207.67.3.domain > comp3134-Winter2023.50351: 12546 NXDomain 0/1/1 (143)
02:34:46.112218 IP 67.207.67.3.domain > comp3134-Winter2023.51559: 62865 NXDomain 0/1/1 (143)
02:34:46.112353 IP comp3134-Winter2023.58400 > 67.207.67.2.domain: 25997+ PTR? 180.91.89.103.in-addr.arpa. (44)
02:34:46.112414 IP comp3134-Winter2023.51559 > 67.207.67.3.domain: 62865+ PTR? 180.91.89.103.in-addr.arpa. (44)
02:34:46.112448 IP comp3134-Winter2023.50351 > 67.207.67.3.domain: 12546+ PTR? 180.91.89.103.in-addr.arpa. (44)
02:34:46.112850 IP 67.207.67.3.domain > comp3134-Winter2023.51559: 62865 NXDomain 0/1/0 (132)
02:34:46.112850 IP 67.207.67.3.domain > comp3134-Winter2023.50351: 12546 NXDomain 0/1/0 (132)
02:34:46.112850 IP 67.207.67.2.domain > comp3134-Winter2023.58400: 25997 NXDomain 0/1/0 (132)
02:34:46.127438 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [.], seq 1223188:1224640, ack 721, win 501, length 1452
02:34:46.141588 IP bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476 > comp3134-Winter2023.ssh: Flags [.], ack 1203860, win 516, length 0
02:34:46.141588 IP bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476 > comp3134-Winter2023.ssh: Flags [.], ack 1204064, win 515, length 0
02:34:46.141684 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1224640:1225008, ack 721, win 501, length 368
02:34:46.141931 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1225008:1225516, ack 721, win 501, length 508
02:34:46.141991 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1225516:1225720, ack 721, win 501, length 204
02:34:46.142038 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1225720:1225924, ack 721, win 501, length 204
02:34:46.142083 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1225924:1226128, ack 721, win 501, length 204
02:34:46.142140 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1226128:1226332, ack 721, win 501, length 204
02:34:46.142182 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1226332:1226536, ack 721, win 501, length 204
02:34:46.142225 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1226536:1226740, ack 721, win 501, length 204
02:34:46.142275 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1226740:1226944, ack 721, win 501, length 204
02:34:46.142319 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1226944:1227148, ack 721, win 501, length 204
02:34:46.142362 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1227148:1227352, ack 721, win 501, length 204
02:34:46.142405 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1227352:1227556, ack 721, win 501, length 204
02:34:46.142451 IP bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476 > comp3134-Winter2023.ssh: Flags [.], ack 1224640, win 516, length 0
02:34:46.142467 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1227556:1227760, ack 721, win 501, length 204
02:34:46.142605 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1227760:1228116, ack 721, win 501, length 356
02:34:46.142655 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1228116:1228320, ack 721, win 501, length 204
02:34:46.142762 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1228320:1228524, ack 721, win 501, length 204
02:34:46.142862 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1228524:1228728, ack 721, win 501, length 204
02:34:46.143034 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1228728:1228932, ack 721, win 501, length 204
02:34:46.143255 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1228932:1229136, ack 721, win 501, length 204
02:34:46.143384 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1229136:1229340, ack 721, win 501, length 204
02:34:46.143506 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1229340:1229544, ack 721, win 501, length 204
02:34:46.143589 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1229544:1229748, ack 721, win 501, length 204
02:34:46.143690 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1229748:1229952, ack 721, win 501, length 204
02:34:46.143762 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1229952:1230156, ack 721, win 501, length 204
02:34:46.144026 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1230156:1230360, ack 721, win 501, length 204
02:34:46.144146 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1230360:1230564, ack 721, win 501, length 204
02:34:46.144248 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1230564:1230768, ack 721, win 501, length 204
02:34:46.144336 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1230768:1230972, ack 721, win 501, length 204
02:34:46.144414 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1230972:1231176, ack 721, win 501, length 204
02:34:46.144530 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1231176:1231380, ack 721, win 501, length 204
02:34:46.144574 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1231380:1231584, ack 721, win 501, length 204
02:34:46.144610 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1231584:1231788, ack 721, win 501, length 204
02:34:46.144645 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1231788:1231992, ack 721, win 501, length 204
02:34:46.144683 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1231992:1232196, ack 721, win 501, length 204
02:34:46.144719 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1232196:1232400, ack 721, win 501, length 204
02:34:46.144763 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1232400:1232604, ack 721, win 501, length 204
02:34:46.144799 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1232604:1232808, ack 721, win 501, length 204
02:34:46.144843 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1232808:1233012, ack 721, win 501, length 204
02:34:46.144888 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1233012:1233216, ack 721, win 501, length 204
02:34:46.144925 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1233216:1233420, ack 721, win 501, length 204
02:34:46.144970 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1233420:1233624, ack 721, win 501, length 204
02:34:46.145016 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1233624:1233828, ack 721, win 501, length 204
02:34:46.145055 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1233828:1234032, ack 721, win 501, length 204
02:34:46.145682 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1234032:1234236, ack 721, win 501, length 204
02:34:46.145900 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1234236:1234440, ack 721, win 501, length 204
02:34:46.145960 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1234440:1234644, ack 721, win 501, length 204
02:34:46.146004 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1234644:1234848, ack 721, win 501, length 204
02:34:46.146045 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1234848:1235052, ack 721, win 501, length 204
02:34:46.146382 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1235052:1235256, ack 721, win 501, length 204
02:34:46.146447 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1235256:1235460, ack 721, win 501, length 204
02:34:46.146489 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1235460:1235664, ack 721, win 501, length 204
02:34:46.146529 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1235664:1235868, ack 721, win 501, length 204
02:34:46.146569 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1235868:1236072, ack 721, win 501, length 204
02:34:46.147016 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1236072:1236276, ack 721, win 501, length 204
02:34:46.147200 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1236276:1236480, ack 721, win 501, length 204
02:34:46.147263 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1236480:1236684, ack 721, win 501, length 204
02:34:46.147331 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1236684:1236888, ack 721, win 501, length 204
02:34:46.147402 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1236888:1237092, ack 721, win 501, length 204
02:34:46.147564 IP bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476 > comp3134-Winter2023.ssh: Flags [.], ack 1230156, win 516, length 0
02:34:46.147609 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1237092:1237296, ack 721, win 501, length 204
02:34:46.147686 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1237296:1237652, ack 721, win 501, length 356
02:34:46.147735 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1237652:1237856, ack 721, win 501, length 204
02:34:46.147781 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1237856:1238060, ack 721, win 501, length 204
02:34:46.147829 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1238060:1238264, ack 721, win 501, length 204
02:34:46.147875 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1238264:1238468, ack 721, win 501, length 204
02:34:46.147921 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1238468:1238672, ack 721, win 501, length 204
02:34:46.147968 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1238672:1238876, ack 721, win 501, length 204
02:34:46.148014 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1238876:1239080, ack 721, win 501, length 204
02:34:46.148317 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1239080:1239284, ack 721, win 501, length 204
02:34:46.148488 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1239284:1239488, ack 721, win 501, length 204
02:34:46.148709 IP bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476 > comp3134-Winter2023.ssh: Flags [.], ack 1234236, win 516, length 0
02:34:46.148789 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1239488:1239692, ack 721, win 501, length 204
02:34:46.148984 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1239692:1240048, ack 721, win 501, length 356
02:34:46.149064 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1240048:1240252, ack 721, win 501, length 204
02:34:46.149120 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1240252:1240456, ack 721, win 501, length 204
02:34:46.149568 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1240456:1240660, ack 721, win 501, length 204
02:34:46.149685 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1240660:1240864, ack 721, win 501, length 204
02:34:46.149734 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1240864:1241068, ack 721, win 501, length 204
02:34:46.149837 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1241068:1241272, ack 721, win 501, length 204
02:34:46.149893 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1241272:1241476, ack 721, win 501, length 204
02:34:46.149935 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1241476:1241680, ack 721, win 501, length 204
02:34:46.150038 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1241680:1241884, ack 721, win 501, length 204
02:34:46.150090 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1241884:1242088, ack 721, win 501, length 204
02:34:46.151430 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1242088:1242292, ack 721, win 501, length 204
02:34:46.151603 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1242292:1242496, ack 721, win 501, length 204
02:34:46.151680 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1242496:1242700, ack 721, win 501, length 204
02:34:46.151781 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1242700:1242904, ack 721, win 501, length 204
02:34:46.152004 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1242904:1243108, ack 721, win 501, length 204
02:34:46.152058 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1243108:1243312, ack 721, win 501, length 204
02:34:46.152232 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1243312:1243516, ack 721, win 501, length 204
02:34:46.152303 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1243516:1243720, ack 721, win 501, length 204
02:34:46.152354 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1243720:1243924, ack 721, win 501, length 204
02:34:46.152404 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1243924:1244128, ack 721, win 501, length 204
02:34:46.152455 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1244128:1244332, ack 721, win 501, length 204
02:34:46.152502 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1244332:1244536, ack 721, win 501, length 204
02:34:46.152730 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1244536:1244740, ack 721, win 501, length 204
02:34:46.152810 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1244740:1244944, ack 721, win 501, length 204
02:34:46.152864 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1244944:1245148, ack 721, win 501, length 204
02:34:46.152914 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1245148:1245352, ack 721, win 501, length 204
02:34:46.152965 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1245352:1245556, ack 721, win 501, length 204
02:34:46.153015 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1245556:1245760, ack 721, win 501, length 204
02:34:46.153065 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1245760:1245964, ack 721, win 501, length 204
02:34:46.153115 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1245964:1246168, ack 721, win 501, length 204
02:34:46.153164 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1246168:1246372, ack 721, win 501, length 204
02:34:46.153586 IP bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476 > comp3134-Winter2023.ssh: Flags [.], ack 1238060, win 516, length 0
02:34:46.153628 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1246372:1246576, ack 721, win 501, length 204
02:34:46.153701 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1246576:1246932, ack 721, win 501, length 356
02:34:46.153740 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1246932:1247136, ack 721, win 501, length 204
02:34:46.153790 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1247136:1247340, ack 721, win 501, length 204
02:34:46.153837 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1247340:1247544, ack 721, win 501, length 204
02:34:46.153882 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1247544:1247748, ack 721, win 501, length 204
02:34:46.153929 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1247748:1247952, ack 721, win 501, length 204
02:34:46.153975 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1247952:1248156, ack 721, win 501, length 204
02:34:46.154079 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1248156:1248360, ack 721, win 501, length 204
02:34:46.154137 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1248360:1248564, ack 721, win 501, length 204
02:34:46.154187 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1248564:1248768, ack 721, win 501, length 204
02:34:46.154249 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1248768:1248972, ack 721, win 501, length 204
02:34:46.154300 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1248972:1249176, ack 721, win 501, length 204
02:34:46.154347 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1249176:1249380, ack 721, win 501, length 204
02:34:46.154392 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1249380:1249584, ack 721, win 501, length 204
02:34:46.154440 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1249584:1249788, ack 721, win 501, length 204
02:34:46.154457 IP bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476 > comp3134-Winter2023.ssh: Flags [.], ack 1241884, win 516, length 0
02:34:46.154457 IP bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476 > comp3134-Winter2023.ssh: Flags [.], ack 1242904, win 512, length 0
02:34:46.154561 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1249788:1250296, ack 721, win 501, length 508
02:34:46.154598 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1250296:1250500, ack 721, win 501, length 204
02:34:46.154634 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1250500:1250704, ack 721, win 501, length 204
02:34:46.154789 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1250704:1250908, ack 721, win 501, length 204
02:34:46.154904 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1250908:1251112, ack 721, win 501, length 204
